XG,SEQV_VAL_0.05,SEQV_VAL_0.1,SEQV_VAL_0.2,SEQV_VAL_0.3
0,78.293,153.81,169.27,201.47
0.22567,78.754,155.14,171.57,204.65
0.45133,80.173,159.1,178.52,214.29
0.67699,82.652,165.67,190.31,230.84
0.90264,86.352,174.67,207.29,254.41
1.1283,91.478,185.8,229.95,284.69
1.3539,98.131,198.72,259.23,321.09
1.5795,105.68,213.25,295.32,361.21
1.8051,113.02,231.28,335.59,398.14
2.0307,117.12,245.89,363.45,414.46
2.2563,115.75,249.25,364.73,409.77
2.4818,112.77,251.23,357.25,401.86
2.7073,111.97,257.15,355.91,394.62
2.9328,113.57,264.45,357.57,389.12
3.1582,117.15,272.11,357.67,384.76
3.3836,122.35,279.43,357.3,380.96
3.609,128.93,285.76,357.43,377.76
3.8343,136.67,290.64,356.66,374.78
4.0596,145.3,294.03,355.28,371.84
4.2848,154.46,296.22,353.78,368.91
4.51,163.68,297.33,352.12,366.05
4.7351,172.37,297.44,350.33,363.24
4.9602,179.94,296.74,348.49,360.51
5.1853,185.83,295.43,346.08,357.98
5.4102,189.76,293.87,342.15,355.62
5.6352,191.97,292.48,337.56,353.42
5.86,193.51,291.76,333.59,351.37
6.0848,196.5,291.95,329.91,349.43
6.3095,203.83,292.84,326.39,347.59
6.5342,217.81,294.23,322.84,344.38
6.7588,238.5,295.74,319.07,339.56
6.9833,259.15,296.97,314.92,334.61
7.2077,272.96,297.37,310.2,329.77
7.432,279.37,295.78,305.61,324.89
7.6563,280.2,291.3,301.63,319.94
7.8805,276.55,283.77,297.11,315.68
8.1046,250.79,265.45,291.64,312.97
8.3286,198.4,222.81,284.81,311.04
8.5525,132.7,163.34,275.31,308.83
8.7763,57.409,100.52,253.6,306
9,6.2422,62.035,239.89,305.71
9.3333,6.4793,74.62,261.84,319.54
9.6667,29.578,105.36,284.42,338.62
10,19.654,59.003,145.34,174.83
10.333,4.98E-09,3.33E-08,4.52E-09,2.87E-09
10.667,2.61E-08,4.33E-08,2.36E-08,1.86E-08
11,4.56E-08,2.87E-08,4.13E-08,4.03E-08
